time,sensor0,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11
0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,-2.3441339334107337e-07,5.168634571863566e-05,-1.7435659316932385e-06,-3.0918357206809715e-06,3.2355441530048355e-07,-2.4557489696930986e-08,-0.00011720669667053668,0.02584317285931783,-0.0008717829658466192,-0.0015459178603404857,0.00016177720765024178,-1.2278744848465494e-05
0.006,-6.631280117701276e-07,0.00014147861476617617,6.825229164222402e-06,-7.23664651905178e-06,7.606710732635712e-07,-5.982515012152269e-08,-0.00021435730921452707,0.044896134523770254,0.00428439754795782,-0.002072405399185404,0.00021855832898154382,-1.7633830212295848e-05
0.008,-1.2205838658054487e-06,0.0002616570683824976,2.6273171216977713e-05,-1.13161522113699e-05,1.193583289988942e-06,-9.744971178587103e-08,-0.00027872792701766054,0.06008922680816069,0.009723971026377655,-0.002039752846159059,0.0002164561083626854,-1.881228083217417e-05
0.01,-1.8496330043385874e-06,0.0004065198126697909,5.515276865412081e-05,-1.4911780754129109e-05,1.577092220340623e-06,-1.3392668712238957e-07,-0.00031452456926656927,0.07243137214364664,0.014439798718571548,-0.0017978142713796046,0.00019175446517584045,-1.8238487668259277e-05
0.012,-2.506601576008969e-06,0.0005714657886289527,9.186635932655492e-05,-1.7928209879818157e-05,1.9002506271333054e-06,-1.6811813171406658e-07,-0.0003284842858351907,0.08247298797958091,0.018356795336217056,-0.001508214562844524,0.00016157920339634127,-1.7095722295838505e-05
0.014,-3.1599872319252227e-06,0.0007526931149310122,0.00013500185392844653,-2.0393903412335835e-05,2.1655319426722874e-06,-1.998533606524203e-07,-0.000326692827958127,0.09061366315102976,0.0215677473009458,-0.0012328467662588393,0.000132640657769491,-1.586761446917686e-05
0.016,-3.7880441412595338e-06,0.0009470418316721647,0.00018336569541186845,-2.2375833651679337e-05,2.3797368686191995e-06,-2.293079361379876e-07,-0.00031402845466715554,0.09717435837057621,0.02418192074171096,-0.000990965119671751,0.00010710246297345606,-1.4727287742783652e-05
0.018000000000000002,-4.376505113496177e-06,0.001151882169700282,0.00023595990344807606,-2.3946664671810362e-05,2.550418416676136e-06,-2.5675427990002833e-07,-0.0002942304861183215,0.10242016901405862,0.026297104018103798,-0.0007854155100655129,8.534077402846829e-05,-1.3723171881020363e-05
0.020000000000000004,-4.916698197314249e-06,0.0013650254375996585,0.00029195248789646905,-2.5173422470006675e-05,2.6846134124986572e-06,-2.8246884820004157e-07,-0.00027009654190903587,0.10657163394968834,0.02799629222419648,-0.0006133788990981569,6.709749791126055e-05,-1.285728415000662e-05
